Hán Tự,Pinyin,Nghĩa 1,Hán Việt,Nghĩa 2
游,yóu,bơi,,
游客,yóukè,luữ khách,,
游戏,yóuxì,trò chơi,,
游泳,yóuyǒng,bơi,,
游览,yóulǎn,"du lãm, du lịch",,
渺小,miǎoxiǎo,nhỏ bé,,
湖泊,húbó,ao hồ,,
湿润,shīrùn,"ướt, ẩm ướt",,
溅,jiàn,"bắn, tóe",,
源泉,yuánquán,"nguồn, cội nguồn",,
溜,liū,"trượt, trượt xuống",,
溪,xī,"khe suối, suối nhỏ, con rạch",,
溶解,róngjiě,"hòa tan, tan",,
滋味,zīwèi,mùi vị,,
滋长,zīzhǎng,"phát sinh, nảy sinh",,
滑冰,huábīng,trượt băng,,
滔滔不绝,tāotāo bù jué,thao thao bất tuyệt,,
滚,gǔn,"cuộn, cút",,
滞留,zhìliú,"ngưng lại, dừng lại",,
满,mǎn,"mãn, đầy đủ",,
满头大汗,mǎn tóu dà hàn,mồ hôi đầy đầu,,
满意,mǎnyì,"mãn nguyện, thỏa mãn",,
满足,mǎnzú,"hài lòng, thỏa mãn",,
滴,dī,"nhỏ, giọt; nhỏ giọt",,
漂亮,piàoliang,xinh đẹp,,
漂浮,piāofú,"trôi nổi, bập bềnh",,
漏,lòu,"chảy, rỉ",,
演习,yǎnxí,diễn tập,,
演出,yǎnchū,diễn xuất,,
演变,yǎnbiàn,diễn biến,,
演员,yǎnyuán,diễn viên,,
演奏,yǎnzòu,diễn tấu,,
演绎,yǎnyì,diễn dịch (logic học),,
演讲,yǎnjiǎng,diễn thuyết,,
漫画,mànhuà,tranh châm biếm,,
漫长,màncháng,dài dằng dặc,,
潜力,qiánlì,tiềm lực,,
潜水,qiánshuǐ,lặn,,
潜移默化,qiányímòhuà,"tiềm di mặc hóa, thay đổi 1 cách vô tri vô giác",,
潮流,cháoliú,"thủy triều, trào lưu",,
潮湿,cháoshī,ẩm ướt,,
澄清,chéngqīng,"trong veo, thanh lọc",,
激动,jīdòng,kích động,,
激励,jīlì,khích lệ,,
激发,jīfā,"kích thích, kích phát",,
激情,jīqíng,mời,,
激烈,jīliè,kịch liệt,,
濒临,bīnlín,"kề bên, sắp đến nơi",,
瀑布,pùbù,thác nước,,
灌溉,guàngài,"tưới, dẫn nước tưới ruộng",,
火,huǒ,lửa,,
火柴,huǒchái,củi lửa,,
火焰,huǒyàn,ngọn lửa,,
火箭,huǒjiàn,hỏa tiễn,,
火药,huǒyào,hỏa dược,,
火车,huǒchē,xe lửa,,
火车站,huǒchē zhàn,xe lửa,,
灭亡,mièwáng,diệt vong,,
灯,dēng,đèn,,
灯笼,dēnglóng,đèn lồng,,
灰,huī,"tro, than",,
灰尘,huīchén,"bụi, bụi đất",,
灰心,huīxīn,"nản lòng, buồn lòng",,
灵感,línggǎn,linh cảm,,
灵敏,língmǐn,"nhanh nhạy, nhạy",,
灵活,línghuó,linh hoạt,,
灵魂,línghún,linh hồn,,
灾害,zāihài,tai hoạ; thiên tai,,
灾难,zāinàn,tai nạn,,
灿烂,cànlàn,xán lạn,,
炉灶,lúzào,bếp núc,,
炎热,yánrè,rất nóng,,
炒,chǎo,xào,,
点,diǎn,"điểm, nơi, giờ",,
点头,diǎntóu,gật đầu,,
点心,diǎnxīn,điểm tâm,,
点缀,diǎnzhuì,điểm xuyết,,
烂,làn,"nát,",,
烘,hōng,"sưởi ấm, sấy khô",,
烟花爆竹,yānhuā bàozhú,,,
烤鸭,kǎoyā,vịt quay,,
烦恼,fánnǎo,phiền não,,
烫,tàng,"bỏng, phỏng",,
热,rè,nóng,,
热心,rèxīn,"nhiệt tâm, nhiệt tình, sốt sắng",,
热情,rèqíng,nhiệt tình,,
热情 ,rèqíng ,nhiệt tình,,
热泪盈眶,rèlèi yíng kuàng,,,
热烈,rèliè,nhiệt liệt,,
热爱,rè'ài,"nhiệt ái, yêu, tha thiết",,
热门,rèmén,"hấp dẫn, lôi cuốn, hot",,
热闹,rènào,"nhiệt náo, náo nhiệt",,
热闹 ,rènào ,náo nhiệt,,
烹饪,pēngrèn,"nấu nướng, nấu ăn",,
焦急,jiāojí,"lo lắng, sốt ruột",,
焦点,jiāodiǎn,tiêu điểm,,
然后,ránhòu,sau đó,,
然而,rán'ér,tuy nhiên,,
煎,jiān,chiên,,
煤炭,méitàn,than đá,,
照常,zhàocháng,"như thường, như thường lệ",,
照应,zhàoyìng,"phối hợp, ăn khớp; chăm sóc, săn sóc",,
照料,zhàoliào,"chăm sóc, coi sóc, lo liệu",,
照样,zhàoyàng,làm theo; rập khuôn,,
照片,zhàopiàn,tấm ảnh,,
照相,zhàoxiàng,chụp hình,,
照相机,zhàoxiàngjī,máy ảnh,,
照耀,zhàoyào,"soi sáng, chiếu rọi",,
照顾,zhàogù,"chiếu cố, chăm sóc",,
煮,zhǔ,nấu,,
煮食,zhǔ shí,đồ ăn chín (nấu),,
熄灭,xímiè,"tắt, dập tắt",,
熊猫,xióngmāo,gấu trúc,,
熏陶,xūntáo,"hun đúc (tài năng, phẩm hạnh tốt)",,
熟悉,shúxī,1. quyen thuộc 2. hiểu rõ,,
熟练,shúliàn,"thạo, thuần thục",,
熨,yùn,"thích hợp, thỏa đáng",,
熬,áo,"nấu, hầm",,
燃烧,ránshāo,"cháy, đốt cháy",,
爆发,bàofā,"bộc phát, bùng nổ",,
爆炸,bàozhà,"nổ, làm nổ tung",,
爬山,páshān,leo núi,,
爱,ài,yêu,,
爱不释手,àibùshìshǒu,"yêu ko buông tay, ko muốn buông tay",,
爱好,àihào,sở thích,,
爱好者,àihào zhě,người yêu thích,,
爱心,àixīn,lòng yêu thương,,
爱情,àiqíng,"ái tình, tình yêu",,
爱惜,àixī,yêu quý,,
爱戴,àidài,yêu quý,,
爱护,àihù,yêu thương bảo vệ,,
父亲,fùqīn,"phụ thân, ba",,
父母,fùmǔ,"cha mẹ, phụ mẫu",,
爷爷,yéyé,ông nội,,
爸爸,bàba,"bố, ba",,
爽快,shuǎngkuài,sảng khoái,,
片,piàn,"phiến, miếng",,
片刻,piànkè,khoảng khắc,,
片段,piànduàn,đoạn ngắn,,
片面,piànmiàn,phiến diện,,
版本,bǎnběn,phiên bản,,
版面,bǎnmiàn,"trang báo, trang sách",,
牙,yá,răng,,
牙刷,yáshuā,bàn chải đánh răng,,
牙膏,yágāo,kem đánh răng,,
牛仔裤,niúzǎikù,quần jean,,
牛奶,niúnǎi,sữa bò,,
牛肉,niúròu,thịt bò,,
牢固,láogù,"kiên cố, vững chắc",,
牢骚,láosāo,"bực tức, oán trách, oán than",,
物理,wùlǐ,vật lý,,
物美价廉,wùměi jià lián,,,
物质,wùzhí,vật chất,,
物资,wùzī,vật chất,,
牲畜,shēngchù,súc vật,,
牵,qiān,"dắt, nắm tay",,
牵制,qiānzhì,kềm chế,,
牵扯,qiānchě,liên lụy,,
特别,tèbié,đặc biệt,,
特定,tè dìng,"chỉ định đặc biệt, đặc biệt",,
特征,tèzhēng,đặc trưng,,
特意,tèyì,đặc ý,,
特殊,tèshū,đặc thù,,
特点,tèdiǎn,đặc điểm,,
特色,tèsè,đặc sắc,,
特长,tècháng,"sở trường, năng khiếu",,
牺牲,xīshēng,"vật tế, súc vật",,
犬,quǎn,"con chó, chó",,
状况,zhuàngkuàng,"trạng huống, tình hình",,
状态,zhuàngtài,trạng thái,,
犹如,yóu rú,"như, cũng như",,
犹豫,yóuyù,do dự,,
狐狸,húlí,"hồ ly, cáo",,
狗,gǒu,con chó,,
狠心,hěnxīn,"quyết, đành phải",,
狡猾,jiǎohuá,xảo quyệt,,
独特,dútè,"độc đặc, riêng biệt, độc đáo và đặc biệt",,
独立,dúlì,độc lập,,
独裁,dúcái,độc tài,,
狭窄,xiá zhǎi,"hẹp, chật, hẹp hòi",,
狭隘,xiá'ài,hẹp; nhỏ,,
狮子,shīzi,sư tử,,
狼,láng,sói,,
狼狈,lángbèi,"nhếch nhác, chẳng ra sao",,
猖狂,chāngkuáng,điên cuồng ngang ngược,,
猛烈,měngliè,mãnh liệt,,
猜,cāi,đoán,,
猜不出,cāi bù chū,đoán không ra,,
猩猩,xīngxīng,tinh tinh,,
猪,zhū,con heo,,
猫,māo,con mèo,,
猴子,hóuzi,"khỉ, con khỉ",,
率领,shuàilǐng,dẫn đầu,,
玉米,yùmǐ,"ngọc mễ, bắp",,
王,wáng,Vương (họ tên),,
王子,wángzǐ,vương tử,,
玩,wán,chơi,,
玩儿,wán er,"chơi, vui chơi",,
玩具,wánjù,đồ chơi,,
玩弄,wànnòng,"đùa giỡn, bỡn cợt, chơi",,
玩意儿,wányì er,"đồ chơi, trò vui",,
环境,huánjìng,"hoàn cảnh, môi trường",,
环节,huánjié,phân đoạn,,
现代,xiàndài,hiện đại,,
现在,xiànzài,hiện tại,,
现场,xiànchǎng,"hiện trường, nơi trực tiếp sản xuất",,
现实,xiànshí,hiện thực,,
现成,xiànchéng,"sẵn có, vốn có",,
现状,xiànzhuàng,hiện trạng,,
现象,xiànxiàng,hiện tượng,,
现金,xiànjīn,hiện kim,,
玻璃,bōlí,"pha lê, thủy tinh",,
珍惜,zhēnxī,"quý trọng, quý",,
珍珠,zhēnzhū,trân châu,,
珍稀,zhēnxī,quý hiếm,,
珍贵,zhēnguì,trân quý,,
班,bān,"lớp, ca, buổi làm",,
班主任,bānzhǔrèn,chủ nhiệm,,
球,qiú,"cầu, quả cầu, quả bóng",,
球迷,qiúmí,"mê cầu, đam mê bóng",,
理发,lǐfǎ,cắt tóc,,
理想,lǐxiǎng,lý tưởng,,
理所当然,lǐsuǒdāngrán,đương nhiên,,
理智,lǐzhì,lý trí,,
理由,lǐyóu,lý do,,
理直气壮,lǐzhíqìzhuàng,"lẽ thắng khí hùng, cây ngay ko sợ chết đứng",,
理睬,lǐcǎi,"để ý, quan tâm",,
理解,lǐjiě,"thấu hiểu, thông cảm",,
理论,lǐlùn,lý luận,,
琢磨,zhuómó,"đẽo gọt, gọt giũa; suy xét, cân nhắc",,
瓦解,wǎjiě,tan rã,,
瓶,píng,"bình, chai",,
瓶子,píngzi,cái chai,,
甘心,gānxīn,can tâm,,
甚至,shènzhì,thậm chí,,
甜,tián,ngọt,,
甜美,tiánměi,tươi đẹp,,
生产,shēngchǎn,"sản xuất. sinh sản, ",,
生动,shēngdòng,sinh động,,
生命,shēngmìng,sinh mệnh,,
生存,shēngcún,sinh tồn,,
生态,shēngtài,sinh thái,,
生意,shēngyì,"làm ăn, kinh doanh",,
生效,shēngxiào,"có hiệu lực, có tác dụng",,
生日,shēngrì,sinh nhật,,
生机,shēngjī,"cơ hội sống, sức sống",,
生气,shēngqì,giận,,
生活,shēnghuó,"sinh hoạt, cuộc sống",,
生物,shēngwù,sinh vật,,
生理,shēnglǐ,sinh lý,,
生疏,shēngshū,"mới lạ, không thạo",,
生病,shēngbìng,sinh bệnh,,
生育,shēngyù,sinh dục,,
生锈,shēng xiù,,,
生食,shēngshí,đồ ăn sống,,
用,yòng,dùng,,
用具,yòngjù,dụng cụ,,
用功,yònggōng,"cố gắng, nỗ lực học tập",,
用户,yònghù,"người dùng, user",,
用电,yòng diàn,dùng điện,,
用途,yòngtú,"công dụng, phạm vi sử dụng",,
甩,shuǎi,"vung, quăng, ném",,
甭,béng,"không cần, khỏi phải",,
田径,tiánjìng,điền kinh,,
田野,tiányě,"điền dã, đồng ruộng",,
由,yóu,do,,
由于,yóuyú,"bởi, do, bởi vì",,
甲,jiǎ,"Giáp, A, nhất",,
申报,shēnbào,"trình báo, trình bày",,
申请,shēnqǐng,"xin, apply",,
电,diàn,"điện, điện (tử)",,
电台,diàntái,điện đài,,
电子,diànzǐ,điện tử,,
电子信箱,diàn zǐ xìnxiāng,hộp thư điện tử,,
电子邮件,diànzǐ yóujiàn,email,,
电影,diànyǐng,phim,,
电梯,diàntī,thang máy,,
电池,diànchí,Pin,,
电源,diànyuán,nguồn điện,,
电脑,diànnǎo,vi tính,,
电视,diànshì,ti vi,,
电视剧,diànshìjù,phim truyền hình,,
电话,diànhuà,điện thoại,,
男人,nánrén,"con trai, NAM NHÂN",,
男生,nánshēng,"con trai, nam sinh",,
画,huà,"bức tranh, vẽ tranh",,
画出来,huà chūlái,vẽ ra,,
画蛇添足,huàshétiānzú,"vẽ rắn thêm chân, vẽ vời vô ích",,
画面,huàmiàn,hình tượng,,
畅通,chàngtōng,"thông suốt, tức khắc",,
畅销,chàngxiāo,"dễ bán, bán chạy",,
界限,jièxiàn,"ranh giới, giới hạn",,
畏惧,wèijù,"sợ hãi, sợ sệt",,
畔,pàn,"bờ, bên (sông, hồ)",,
留,liú,"lưu, giữ",,
留下,liú xià,lưu lại,,
留住,liú zhù,giữ lại,,
留到,liú dào,"lưu đến, giữ lại",,
留学,liúxué,du học,,
留学生,liúxuéshēng,"du học sinh, lưu học sinh",,
留念,liúniàn,lưu niệm,,
留恋,liúliàn,lưu luyến,,
留神,liúshén,"lưu ý, để ý cẩn thận",,
畜牧,xùmù,chăn nuôi,,
略微,lüèwēi,"một chút, sơ sơ",,
番,fān,"nước ngoài, ngoại biên",,
疏忽,shūhū,"lơ là, qua quýt",,
疑惑,yíhuò,nghi hoặc,,
疑问,yíwèn,nghi vấn,,
疙瘩,gēda,"mụn, mụn cơm",,
疤,bā,vết sẹo,,
疯狂,fēngkuáng,khùng điên,,
疲倦,píjuàn,"mệt mỏi, rã rời",,
疲劳,píláo,mệt mỏi,,
疲惫,píbèi,mệt mỏi,,
疼,téng,"đau, yêu",,
疼爱,téng'ài,"thương mến, mến yêu",,
疾病,jíbìng,"bệnh, bệnh tật",,
病毒,bìngdú,"Virus, độc bệnh",,
症状,zhèngzhuàng,bệnh trạng,,
痒,yǎng,ngứa,,
痕迹,hénjī,vết tích,,
痛快,tòngkuài,"thống khoái, vui vẻ, thoải mái",,
痛苦,tòngkǔ,thống khổ,,
瘦,shòu,"ốm, gầy",,
瘫痪,tānhuàn,bại liệt,,
瘸,qué,"què, khập khiễng",,
癌症,áizhèng,ung thư,,
登录,dēnglù,đăng nhập,,
登机,dēng jī,"lên máy bay, boarding",,
登机牌,dēng jī pái,"vé lên máy bay, boarding pass",,
登记,dēngjì,đăng ký,,
登陆,dēnglù,cập bờ,,
白,bái,trắng,,
白天,bái tiān,buổi sáng,,
白色,báisè,màu trắng,,
白银,báiyín,bạc,,
百,bǎi,một trăm,,
百分点,bǎifēndiǎn,100 diem,,
百货,bǎihuò,bách hóa,,
的,de,trợ từ,,
的确,díquè,đích thực,,
皆,jiē,"đều, đều là",,
皇后,huánghòu,hoàng hậu,,
皇帝,huángdì,hoàng đế,,
皮肤,pífū,da,,
皮革,pígé,thuộc da,,
皮鞋,píxié,giày da,,
皱,zhòu,"nếp nhăn, ",,
皱纹,zhòuwén,nếp nhăn; nếp gấp,,
盆,pén,"chậu, bồn",,
盆地,péndì,"thung lũng, chỗ trũng",,
盈利,yínglì,lợi nhuận,,
益,yì,"ích, lợi ích",,
益于,yì yú,"lợi đối (với), có lợi ở",,
盏,zhǎn,"chung, cốc chén",,
盐,yán,muối,,
监狱,jiānyù,"nhà tù, ngục tù",,
监督,jiāndū,giám sát,,
监视,jiānshì,"giám sát, kiểm tra",,
盒,hé,"hộp, cái hộp",,
盒子,hézi,hộp,,
盖,gài,"nắp, vung",,
盖章,gài zhāng,đóng dấu,,
盗窃,dàoqiè,trộm cướp,,
盘子,pánzi,cái đĩa,,
盘旋,pánxuán,"lượn vòng, luẩn quẩn",,
盛,shèng,"đựng, xới (cơm), rót; hưng thịnh, Thịnh",,
盛产,shèngchǎn,sản xuất nhiều,,
盛开,shèngkāi,"nở rộ, đua nở (hoa)",,
盛情,shèngqíng,"thịnh tình, mối tình nồng nàn",,
盛行,shèngxíng,thịnh hành,,
目光,mùguāng,"ánh mắt, tầm mắt",,
目前,mùqián,"mục tiền, hiện nay",,
目录,mùlù,mục lục,,
目标,mùbiāo,mục tiêu,,
目的,mùdì,mục đích,,
目的地,mùdì de,đích đến,,
目睹,mùdǔ,mắt thấy,,
盯,dīng,"nhìn chăm chú, nhìn chằm chằm",,
盲目,mángmù,mù quáng,,
直,zhí,"thẳng, trực, luôn",,
直到,zhídào,"mãi đến, mãi cho đến",,
直接,zhíjiē,trực tiếp,,
直播,zhíbò,"phát sóng trực tiếp, livestream",,
相互,xiānghù,"lẫn nhau, tương hỗ, qua lại",,
相似,xiāngsì,tương tự,,
相信,xiāngxìn,tin tưởng,,
相关,xiāngguān,tương quan,,
相反,xiāngfǎn,"tương phản, ngược lại",,
相同,xiāngtóng,"tương đồng, giống nhau",,
相声,xiàngsheng,"tương thanh, tấu nói",,
相处,xiāngchǔ,"sống chung, tương xử",,
相对,xiāngduì,tương đối,,
相差,xiāngchà,"không gặp nhau, không nhất trí",,
相应,xiāngyìng,tương ứng,,
相当,xiāngdāng,tương đương,,
相比,xiāng bǐ,so sánh,,
相等,xiāngděng,"bằng nhau, bằng",,
相辅相成,xiāngfǔxiāngchéng,bổ trợ cho nhau,,
相遇,xiāngyù,"tương ngộ, gặp gỡ",,
盼望,pànwàng,"trông mong, mong mỏi",,
省,shěng,"1. tỉnh (tỉnh thành); 2. giảm, tiết kiệm",,
省会,shěnghuì,tỉnh lị,,
省略,shěnglüè,"tỉnh lược, lược bớt",,
眉毛,méimáo,lông mày,,
看,kàn,"xem, nhìn",,
看不起,kànbùqǐ,"xem thường, khinh thường",,
看到,kàn dào,nhìn thấy,,
看待,kàndài,"đối đãi, cư xử",,
看望,kàn wàng,"vấn an, hỏi thăm sức khỏe",,
看来,kàn lái,xem lại,,
看法,kànfǎ,cách nhìn,,
看见,kànjiàn,nhìn thấy,,
真,zhēn,thật,,
真实,zhēnshí,chân thực,,
真心,zhēnxīn,"thật tâm, thật lòng",,
真挚,zhēnzhì,chân thành tha thiết,,
真正,zhēnzhèng,"chân chính, thật sự",,
真理,zhēnlǐ,chân lý,,
真相,zhēnxiàng,"chân tướng, bộ mặt thật",,
眨,zhǎ,"chớp, nháy",,
眯,mī,"mắt hí, chợp mắt",,
眼,yǎn,"mắt, đôi mắt",,
眼下,yǎnxià,trước mắt,,
眼光,yǎnguāng,"ánh mắt, quan điểm, khả năng quan sát",,
眼睛,yǎnjīng,đôi mắt,,
眼神,yǎnshén,"ánh mắt, thị lực",,
眼色,yǎnsè,"đưa mắt ra hiệu, năng lực (quan sát làm việc)",,
眼镜,yǎnjìng,mắt kính,,
着,zhe,(trợ từ),,
着凉,zháoliáng,"cảm lạnh, nhiễm lạnh",,
着急,zhāojí,"lo lắng, sốt ruột",,
着想,zhuóxiǎng,"suy nghĩ, lo nghĩ",,
着手,zhuóshǒu,"bắt tay vào làm, bắt đầu làm",,
着迷,zháomí,"say mê, say sưa",,
着重,zhuózhòng,"cường điệu, nhấn mạnh",,
睁,zhēng,"trừng (mắt), mở to mắt",,
睡,shuì,ngủ,,
睡眠,shuìmián,giấc ngủ,,
睡觉,shuìjiào,ngủ,,
督促,dūcù,thúc giục,,
瞎,xiā,"mù, đui",,
瞧,qiáo,nhìn,,
瞪,dèng,"trừng, trợn (mắt)",,
瞬间,shùnjiān,"khoảnh khắc, chốc, lúc",,
瞻仰,zhānyǎng,chiêm ngưỡng,,
矛盾,máodùn,mâu thuẫn,,
知觉,zhījué,"tri giác, cảm giác",,
知识,zhīshì,"tri thức, kiến thức",,
知足常乐,zhīzú cháng lè,hài lòng với,,
知道,zhīdào,"biết, nhận biết",,
短,duǎn,ngắn,,
短促,duǎncù,"ngắn ngủi, cấp bách",,
短信,duǎnxìn,tin nhắn điện thoại,,
短跑,duǎnpǎo,chạy đường ngắn,,
矮,ǎi,"thấp, lùn",,
石头,shítou,đá,,
石油,shíyóu,dầu mỏ,,
矿泉水,kuàngquán shuǐ,nước khoàng,,
码头,mǎtóu,"bến đò, đầu mối (giao thông)",,
砍,kǎn,"chặt, chẻ",,
研究,yánjiū,nghiên cứu,,
研究生,yánjiūshēng,nghiên cứu sinh,,
砖瓦,zhuān wǎ,lò ngói,,
破,pò,"nát, bể nát, tan nát",,
破产,pòchǎn,phá sản,,
破例,pòlì,"pha lê, thủy tinh",,
破坏,pòhuài,"phá hư, phá hoại",,
砸,zá,"đánh, đập, nện",,
硕士,shuòshì,thạc sĩ,,
硬,yìng,cứng,,
硬件,yìngjiàn,phần cứng,,
硬币,yìngbì,"tiền cứng, tiền bằng kim loại",,
确保,quèbǎo,bảo đảm,,
确信,quèxìn,"vững tin, tin chắc",,
确切,quèqiè,"chuẩn xác, xác đáng",,
确定,quèdìng,xác định,,
确实,quèshí,"thực sự, xác thực",,
确立,quèlì,"xác lập, thiết lập",,
确认,quèrèn,xác nhận,,
碎,suì,bể,,
碎片,suìpiàn,mảnh vỡ,,
碗,wǎn,"bát, chén",,
碧玉,bìyù,bích ngọc,,
碰见,pèngjiàn,"đụng gặp, tình cờ gặp",,
磁带,cídài,bằng từ,,
磅,bàng,"bảng Anh, bàn cân",,
磋商,cuōshāng,"bàn bạc, hội ý",,
磕,kē,"sứt, mẻ; gõ đập",,
磨合,móhé,bẻ vỡ,,
示威,shìwēi,thị uy,,
示意,shìyì,"tỏ ý, ra hiệu",,
示范,shìfàn,"thị phạm, làm mẫu",,
礼拜天,lǐbài tiān,chủ nhật,,
礼物,lǐwù,lễ vật,,
礼节,lǐjié,"lễ tiết, lễ độ",,
礼貌,lǐmào,lễ phép,,
社会,shèhuì,xã hội,,
社区,shèqū,,,
祖先,zǔxiān,tổ tiên,,
祖国,zǔguó,tổ quốc,,
祖父,zǔfù,"ông nội, ông nội và cha",,
祝,zhù,chúc mừng,,
祝福,zhùfú,chúc phúc,,
祝贺,zhùhè,chúc mừng,,
神仙,shénxiān,thần tiên,,
神圣,shénshèng,"thần thánh, thiêng liêng",,
神奇,shénqí,thần kỳ,,
神态,shéntài,thần thái,,
神情,shénqíng,thần sắc,,
神气,shénqì,thần khí,,
神秘,shénmì,thần bí,,
神经,shénjīng,thần kinh,,
神色,shénsè,thần sắc,,
神话,shénhuà,thần thoại,,
票,piào,vé,,
禁止,jìnzhǐ,cấm; không cho phép; ngăn chặn,,
福利,fúlì,phúc lợi,,
福气,fúqi,"có phúc, tốt phúc",,
离,lí,cách (xa),,
离不开,lì bù kāi,"không thể rời khỏi, ly ko khai",,
离婚,líhūn,li hôn,,
离开,líkāi,"ly khai, rời khỏi",,
私人,sīrén,tư nhân,,
私自,sīzì,"một mình, tự  mình",,
秃,tū,"trọc, trụi",,
秋,qiū,mùa thu,,
种,zhǒng,"loại, Chủng",,
种子,zhǒngzǐ,"giống, hạt giống",,
种族,zhǒngzú,chủng tộc,,
科学,kēxué,khoa học,,
科学家,kēxuéjiā,nhà khoa học,,
科技,kējì,khoa học kĩ thuật,,
科目,kēmù,khoa; môn học; danh sách trúng tuyển,,
秒,miǎo,giây,,
秘书,mìshū,"bí thư, thư ký",,
秘密,mìmì,bí mật,,
秘诀,mìjué,bí quyết,,
租,zū,"thuê, cho mướn",,
租出,zū chū,cho thuê,,
租出去,zū chūqù,cho thuê đi,,
租房,zūfáng,thuê phòng,,
租赁,zūlìn,thuê mướn,,
秤,chèng,cân,,
秦国,qín guó,nước Tần,,
秩序,zhìxù,thứ tự,,
积极,jījí,"tích cực, hăng hái",,
积累,jīlěi,tích lũy,,
称,chēng,"xưng, gọi là",,
称为,chēng wèi,gọi là,,
称号,chēnghào,"danh hiệu, tước vị",,
称呼,chēnghu,xưng hô,,
称心,chènxīn,"vừa lòng, toại nguyện",,
称心如意,chènxīn rúyì,"vừa lòng đẹp ý, như ý nguyện",,
称赞,chēngzàn,tán thưởng; khen ngợi,,
移动,yídòng,di động,,
移民,yímín,di dân,,
程序,chéngxù,trình tự,,
程度,chéngdù,"trình độ, mức độ",,
稍微,shāowéi,"hơi, một chút, sơ qua",,
税,shuì,thuế,,
稠密,chóumì,"đông đúc, dầy đặc",,
稳定,wěndìng,ổn định,,
稻谷,dàogǔ,hạt thóc,,
稿件,gǎojiàn,bài viết,,
究竟,jiùjìng,rốt cuộc,,
穷,qióng,nghèo,,
空前绝后,kōngqiánjuéhòu,"không tiền khoáng hậu, không bao giờ có",,
空想,kōngxiǎng,"nghĩ viển vông, nghĩ vẩn vơ",,
空气,kōngqì,không khí,,
空洞,kōngdòng,"chỗ trống,  trống rỗng",,
空白,kòngbái,"chỗ trống,  lỗ hổng",,
空虚,kōngxū,"trống rỗng, rỗng tuếch",,
空调,kòngtiáo,máy điều hòa không khí,,
空闲,kòngxián,"nhàn rỗi, rảnh",,
空间,kōngjiān,không gian,,
空隙,kòngxì,"khe hở, lúc rãnh rỗi",,
穿,chuān,mặc,,
穿越,chuānyuè,"vượt, vượt qua",,
突出,túchū,"nổi trội, vượt trội; xông ra, nhô lên",,
突然,túrán,đột nhiên,,
突破,túpò,đột phát,,
窄,zhǎi,"hẹp, chật",,
窗,chuāng,cử sổ,,
窗帘,chuānglián,"rèm cửa sổ, màn cửa",,
窗户,chuānghù,cửa sổ,,
窘迫,jiǒngpò,"quẫn bách, khó khăn",,
窜,cuàn,tháo chạy,,
窝,wō,"tổ, ổ",,
立交桥,lìjiāoqiáo,cầu vượt,,
立体,lìtǐ,"lập thể, khối hình học",,
立刻,lìkè,"lập khắc, lập tức khắc",,
立即,lìjí,"lập tức, ngay",,
立场,lìchǎng,lập trường,,
立方,lìfāng,lập phương,,
立足,lìzú,"dừng chân, chỗ dựa",,
竖,shù,"thẳng đứng, dọc",,
站,zhàn,1. đứng; 2. trạm,,
站着,zhànzhe,đứng (đang đứng),,
站立,zhànlì,"đứng, đứng thẳng",,
站起来,zhàn qǐlái,"đứng dạy, đứng lên",,
竞争,jìngzhēng,cạnh tranh,,
竞赛,jìngsài,thi đấu,,
竞选,jìngxuǎn,tranh cử,,
竟然,jìngrán,"mà, lại, vậy mà",,
章程,zhāngchéng,"chương trình, điều lệ",,
童年,tóngnián,"thời thơ ấu, đồng niên",,
童话,tónghuà,đồng thoại,,
竭尽全力,jiéjìn quánlì,,,
端,duān,"Đoan, đầu mút",,
端午节,duānwǔ jié,tết đoan ngọ,,
端正,duānzhèng,đoan chính,,
竹子,zhúzi,"trúc, cây trúc",,
笑,xiào,cười,,
笑话,xiàohuà,"chuyện cười, cười nhạo, cười châm biếm",tiếu thoại,
笔记本,bǐjìběn,sổ tay,,
笔记本电脑,bǐjìběn diànnǎo,"Laptop, vi tính xách tay",,
符号,fúhào,phù hiệu,,
符合,fúhé,phù hợp,,
笨,bèn,"ngu, đần độn, ngốc nghếch",,
笨拙,bènzhuō,"ngốc, kém thông minh",,
第,dì,"thứ, Đệ",,
第一,dì yī,"số 1, đệ nhất",,
第一次,dì yī cì,lần đầu tiền,,
第二,dì èr,thứ 2,,
笼子,lóngzi,cái lồng,,
笼罩,lóngzhào,"bao phủ, che phủ",,
等,děng,đợi,,
等于,děngyú,"bằng, tương đương",,
等候,děnghòu,đợi,,
等待,děngdài,chò đợi,,
等级,děngjí,"đẳng cấp, cấp, bậc",,
筐,kuāng,"giỏ, sọt",,
答复,dáfù,"trả lời, đáp",,
答应,dāyìng,đáp ứng,,
答案,dá'àn,đáp án,,
答辩,dábiàn,"Đáp Biện, biện hộ, bào chữa",,
策划,cèhuà,trù hoạch,,
策略,cèlüè,sách lược,,
筛选,shāixuǎn,"sàng chọn, sàng lọc",,
筷子,kuàizi,cây đũa,,
筹备,chóubèi,"trù bị, sắp xếp",,
签字,qiānzì,ký tên,,
签署,qiānshǔ,"ký tên, ký",,
签订,qiāndìng,giám định,,
签证,qiānzhèng,thị thực,,
简体字,jiǎntǐzì,chữ giản thể,,
简化,jiǎnhuà,giản hóa,,
简单,jiǎndān,giản đơn,,
简历,jiǎnlì,"cv, sơ yếu lí lịch",,
简直,jiǎnzhí,"quả là, thật là",,
